"filename", "language", "TypeScript", "YAML", "Shell Script", "Markdown", "JSON", "TypeScript JSX", "Nix", "XML", "CSS", "Python", "JavaScript", "comment", "blank", "total"
"/home/ewt/typetutor-deno/static/content/quotes/en/literary/shakespeare.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/home/ewt/typetutor-deno/static/content/quotes/en/motivational/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/en/motivational/success.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/ewt/typetutor-deno/static/content/quotes/en/science/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/en/science/edison.json", "JSON", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"/home/ewt/typetutor-deno/static/content/quotes/en/science/einstein.json", "JSON", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/home/ewt/typetutor-deno/static/content/quotes/en/science/oppenheimer.json", "JSON", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/home/ewt/typetutor-deno/static/content/quotes/es/historico/bartolome-de-las-casas.json", "JSON", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 65
"/home/ewt/typetutor-deno/static/content/quotes/es/historico/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/es/historico/isabel-la-catolica.json", "JSON", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/home/ewt/typetutor-deno/static/content/quotes/es/motivacional/exito.json", "JSON", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/home/ewt/typetutor-deno/static/content/quotes/fr/historique/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/fr/historique/jeanne-darc.json", "JSON", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 93
"/home/ewt/typetutor-deno/static/content/quotes/fr/science/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/fr/science/poids-et-mesures.json", "JSON", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 1, 116
"/home/ewt/typetutor-deno/static/content/quotes/languages.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/abraham-kuyper.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/aletta-jacobs.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 52
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/category.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/georges-van-acker.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/hugo-de-groot.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/johan-huizinga.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/home/ewt/typetutor-deno/static/content/quotes/nl/geschiedkunding/johan-rudolph-thorbecke.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/ewt/typetutor-deno/static/languages/en.json", "JSON", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"/home/ewt/typetutor-deno/static/languages/es.json", "JSON", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"/home/ewt/typetutor-deno/static/languages/fr.json", "JSON", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"/home/ewt/typetutor-deno/static/languages/languages.json", "JSON", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/home/ewt/typetutor-deno/static/languages/nl.json", "JSON", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"/home/ewt/typetutor-deno/static/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/home/ewt/typetutor-deno/static/research/mastering_touch_typing.md", "Markdown", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 30, 192
"/home/ewt/typetutor-deno/static/research/touch_typing_desiggn_guide.md", "Markdown", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 43, 221
"/home/ewt/typetutor-deno/static/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 2, 14, 83
